simout1,simout2,simout3,simout4,simout5,simout6,simout7,simout8
0.0,0.5029950956607137,0.0005029950956607136,0.0,0.0,1.7040812890786265e-05,0.5029950956607137,0.0
0.001,0.5865569273827951,0.0010895520230435086,1.0895520226575971e-06,2.8998986338726072e-11,2.6615513283289832e-05,0.5865569273827951,0.0
0.002,0.24532313063058342,0.0013348751536740922,2.4244271758666884e-06,6.423302346683302e-11,2.639500558177332e-05,0.24532313063058342,0.0
0.003,-0.3478833932438625,0.0009869917604302296,3.411418936160909e-06,8.061838768859447e-11,1.660131814613297e-05,0.0,0.3478833932438625
0.004,-0.00852149035636085,0.0009784702700738688,4.389889205828274e-06,1.0882305724521599e-10,2.8825269835125485e-05,0.0,0.00852149035636085
0.005,-0.7378142025231345,0.00024065606755073433,4.630545273364035e-06,1.115076494104316e-10,1.1155306378075564e-05,0.0,0.7378142025231345
0.006,0.2642737125017862,0.0005049297800525205,5.135475053401446e-06,1.1541383654918927e-10,7.7360997372552e-06,0.2642737125017862,0.0
0.007,-0.5418009105555757,-3.6871130503055126e-05,5.098603922898398e-06,1.1539010037787139e-10,6.437603348212586e-07,0.0,0.5418009105555757
0.008,-0.4046535511729883,-0.0004415246816760434,4.657079241233337e-06,1.1850414830582392e-10,-7.052941901588177e-06,0.0,0.4046535511729883
0.009000000000000001,-0.7585684398495034,-0.0012000931215255467,3.456986119932359e-06,1.4172069221285838e-10,-1.934561867913212e-05,0.0,0.7585684398495034
0.01,0.6810884438372296,-0.0005190046776883172,2.93798144259325e-06,1.6075962591719552e-10,-3.6683549353366014e-05,0.6810884438372296,0.0
0.011,-0.9930191665454025,-0.0015120238442337198,1.4259575992823388e-06,2.135859221175618e-10,-3.4937475630805955e-05,0.0,0.9930191665454025
0.012,-0.6240593103680407,-0.0021360831546017606,-7.101255548123534e-07,2.601292345973358e-10,-2.1789092050648246e-05,0.0,0.6240593103680407
0.013000000000000001,-0.6589730734054957,-0.0027950562280072565,-3.5051817827886564e-06,2.732834798322907e-10,-4.7062542439018464e-06,0.0,0.6589730734054957
0.014,-0.9709007587067302,-0.0037659569867139865,-7.271138769143797e-06,3.2527194899457676e-10,-1.3804849430662312e-05,0.0,0.9709007587067302
0.015,0.6014060223510693,-0.003164550964362917,-1.0435689733034702e-05,3.799290925822999e-10,-1.7271690108945397e-05,0.6014060223510693,0.0
0.016,0.8400514021476477,-0.0023244995622152694,-1.2760189295152415e-05,4.0122563372566045e-10,-9.161774641662074e-06,0.8400514021476477,0.0
0.017,0.09657964726458146,-0.0022279199149506878,-1.4988109209198425e-05,4.647165831576716e-10,-2.8497859826352975e-05,0.09657964726458146,0.0
0.018000000000000002,0.22429062708582026,-0.002003629287864867,-1.69917384965126e-05,5.116927655909133e-10,-2.344554590116054e-05,0.22429062708582026,0.0
0.019,0.18748977903507003,-0.0018161395088297971,-1.8807878005318184e-05,5.210708477604159e-10,-5.163745474369978e-06,0.18748977903507003,0.0
0.02,-0.4725824328465209,-0.002288721941676318,-2.1096599946928345e-05,5.036685677300719e-10,7.603492461721203e-06,0.0,0.4725824328465209
0.021,-0.9457735514517227,-0.0032344954931280406,-2.4331095439979736e-05,5.259363528401459e-10,-6.884469357759082e-06,0.0,0.9457735514517227
0.022,0.6521480495369598,-0.0025823474435910806,-2.6913442883105435e-05,5.749623808845309e-10,-1.8985062668078946e-05,0.6521480495369598,0.0
0.023,-0.7297323501284798,-0.0033120797937195605,-3.0225522675816585e-05,6.566929163529383e-10,-2.467649953110468e-05,0.0,0.7297323501284798
0.024,-0.2984831627245754,-0.0036105629564441365,-3.383608563196702e-05,7.027455163637576e-10,-1.2754963856778449e-05,0.0,0.2984831627245754
0.025,0.5262238888963189,-0.003084339067547817,-3.6920424699504804e-05,6.94879180910569e-10,2.5504120269926425e-06,0.5262238888963189,0.0
0.026000000000000002,0.0545434104943785,-0.003029795657053438,-3.9950220356124666e-05,6.436219936211931e-10,1.6917704391216268e-05,0.0545434104943785,0.0
0.027,0.43901477969949476,-0.002590780877353944,-4.254100123325464e-05,6.095557242401668e-10,1.3149035366048053e-05,0.43901477969949476,0.0
0.028,0.8528515764619284,-0.0017379293008920153,-4.427893053414453e-05,6.122753861844317e-10,-1.564886409861556e-06,0.8528515764619284,0.0
0.029,0.6481665717196983,-0.0010897627291723171,-4.536869326307375e-05,6.352934869111001e-10,-2.1122121460202917e-05,0.6481665717196983,0.0
0.03,0.07826321463176278,-0.0010114995145405544,-4.6380192777572795e-05,6.444571624036953e-10,-9.05949569029981e-06,0.07826321463176278,0.0
0.031,-0.5361893770289241,-0.0015476888915694784,-4.792788166904799e-05,6.615408416397827e-10,-1.1038186892399392e-05,0.0,0.5361893770289241
0.032,0.419311320186458,-0.0011283775713830204,-4.9056259239915375e-05,6.956533386245864e-10,-3.023145607918198e-05,0.419311320186458,0.0
0.033,-0.13109659270479024,-0.0012594741640878106,-5.0315733403695036e-05,7.235138505386109e-10,-2.2120749048056096e-05,0.0,0.13109659270479024
0.034,0.7193515257128946,-0.0005401226383749161,-5.085585604197035e-05,7.338865850474708e-10,-1.9204406133959143e-05,0.7193515257128946,0.0
0.035,0.4686009888537639,-7.152164952115215e-05,-5.092737769147337e-05,7.354970980927223e-10,-2.251783978935359e-05,0.4686009888537639,0.0
0.036000000000000004,-0.2043201667628174,-0.00027584181628396954,-5.120321950774389e-05,7.382206882782813e-10,-9.873739312966756e-06,0.0,0.2043201667628174
0.037,0.9996207987328787,0.0007237789824489091,-5.047944052546098e-05,7.227192862503813e-10,-2.1417314408102863e-05,0.9996207987328787,0.0
0.038,0.4512245907456527,0.001175003573194562,-4.9304436953142005e-05,6.773580711597562e-10,-3.8605172049448216e-05,0.4512245907456527,0.0
0.039,-0.4166233183839445,0.0007583802548106174,-4.854605669849869e-05,6.614281599480046e-10,-2.1005176640445482e-05,0.0,0.4166233183839445
0.04,0.7319489139985194,0.0014903291688091367,-4.705572753015658e-05,6.241182213196809e-10,-2.5034696638215726e-05,0.7319489139985194,0.0
0.041,0.4001044738382591,0.0018904336426473958,-4.516529388763026e-05,6.027226498171728e-10,-1.1317811437698572e-05,0.4001044738382591,0.0
0.042,0.4293153948488513,0.002319749037496247,-4.2845544850831214e-05,5.458485513644167e-10,-2.451734973876281e-05,0.4293153948488513,0.0
0.043000000000000003,0.5107790695538905,0.0028305281070501375,-4.001501674404986e-05,5.068410027529155e-10,-1.3781014403488145e-05,0.5107790695538905,0.0
0.044,0.6849467019788156,0.003515474809028953,-3.6499541935054704e-05,4.914258387758089e-10,-4.384945082685424e-06,0.6849467019788156,0.0
0.045,-0.5684039161205692,0.002947070892908384,-3.355247104231412e-05,5.228748704313199e-10,1.0671284403705593e-05,0.0,0.5684039161205692
0.046,0.9820214445277518,0.003929092337436136,-2.9623378705621432e-05,5.993086858444317e-10,1.9453300878087312e-05,0.9820214445277518,0.0
0.047,-0.9529126001852737,0.002976179737250862,-2.6647198969190896e-05,6.691863104578313e-10,2.347896659103212e-05,0.0,0.9529126001852737
0.048,0.8400742289957628,0.003816253966246625,-2.2830945004595376e-05,7.814452333768646e-10,2.941599902105894e-05,0.8400742289957628,0.0
0.049,-0.7207561809363376,0.0030954977853102873,-1.9735447219454327e-05,8.138141183685243e-10,1.0456762445722451e-05,0.0,0.7207561809363376
0.05,0.0328872838661638,0.003128385069176451,-1.660706215037238e-05,8.381304911048763e-10,7.77281958547325e-06,0.0328872838661638,0.0
0.051000000000000004,0.14107063828508437,0.0032694557074615356,-1.3337606443291012e-05,8.879891727078235e-10,1.5249841584057067e-05,0.14107063828508437,0.0
0.052000000000000005,0.30699065612609866,0.003576446363587634,-9.761160080047796e-06,9.376236728268165e-10,1.3878161469419168e-05,0.30699065612609866,0.0
0.053,0.5503050478781195,0.0041267514114657535,-5.634408668767497e-06,9.767471288426947e-10,9.480448933212659e-06,0.5503050478781195,0.0
0.054,0.18339704364220033,0.004310148455107954,-1.324260213682439e-06,9.626982413115457e-10,-3.259490404448704e-06,0.18339704364220033,0.0
0.055,0.45494510602169047,0.004765093561129644,3.4408333474039272e-06,9.4238945012578e-10,-4.261992115221503e-06,0.45494510602169047,0.0
0.056,0.8125196890181456,0.00557761325014779,9.01844659726918e-06,8.862488953302173e-10,-1.0065336601641041e-05,0.8125196890181456,0.0
0.057,-0.8497575174886245,0.0047278557326591655,1.374630232930626e-05,8.095530242210333e-10,-1.6222125938138676e-05,0.0,0.8497575174886245
0.058,-0.6597757085401972,0.004068080024118968,1.7814382353424898e-05,8.1119146306054e-10,4.027548204048881e-07,0.0,0.6597757085401972
0.059000000000000004,0.5555167234824194,0.004623596747601388,2.2437979101019304e-05,8.031574559813293e-10,-1.7376098128329552e-06,0.5555167234824194,0.0
0.06,-0.6981208350062982,0.00392547591259509,2.6363455012832616e-05,7.248139022513803e-10,-1.9957721173063516e-05,0.0,0.6981208350062982
0.061,-0.44492702612629054,0.0034805488864687994,2.984400389852411e-05,6.512551175074187e-10,-2.1134248404155238e-05,0.0,0.44492702612629054
0.062,-0.9879102650994014,0.002492638621369398,3.233664251907717e-05,5.874612173816432e-10,-2.5592919722030412e-05,0.0,0.9879102650994014
0.063,-0.14681747589818994,0.0023458211454712085,3.468246366450363e-05,5.72972358565474e-10,-6.176455031208672e-06,0.0,0.14681747589818994
0.064,0.4976526464187372,0.0028434737918899456,3.75259374562636e-05,5.45784654451812e-10,-9.56144002157505e-06,0.4976526464187372,0.0
0.065,-0.6879400635856687,0.0021555337283042765,3.968147118446561e-05,5.667814554191113e-10,9.740882590665449e-06,0.0,0.6879400635856687
0.066,-0.5589663450939315,0.001596567383210345,4.127803856761757e-05,5.804358870910475e-10,8.552367921137548e-06,0.0,0.5589663450939315
0.067,-0.15550482383009467,0.0014410625593802504,4.2719101126893225e-05,5.977986583159803e-10,1.2048589502471005e-05,0.0,0.15550482383009467
0.068,0.699702637338506,0.0021407651967187565,4.485986632358874e-05,5.878236132848e-10,-4.659569880202462e-06,0.699702637338506,0.0
0.069,0.20821222224670244,0.002348977418965459,4.720884374238119e-05,6.163328396695493e-10,1.213686694272496e-05,0.20821222224670244,0.0
0.07,0.15695141902611276,0.0025059288379915717,4.9714772579341666e-05,6.882196862048742e-10,2.8686707082552167e-05,0.15695141902611276,0.0
0.07100000000000001,-0.1150842316052525,0.0023908446063863192,5.210561718547578e-05,7.22946700035766e-10,1.4524998295310185e-05,0.0,0.1150842316052525
0.07200000000000001,-0.03446597473516122,0.0023563786316511586,5.446199581614541e-05,7.909591430406934e-10,2.886312161416652e-05,0.0,0.03446597473516122
0.073,0.08861500062360017,0.0024449936322747585,5.6906989447947444e-05,8.390383082984565e-10,1.9664331483812543e-05,0.08861500062360017,0.0
0.074,-0.9738550796980316,0.0014711385525767269,5.837812800052162e-05,8.417781929096477e-10,1.8624245869933477e-06,0.0,0.9738550796980316
0.075,0.035192136616778,0.001506330689193505,5.9884458689652414e-05,8.555237471053687e-10,9.125190301520896e-06,0.035192136616778,0.0
0.076,-0.38598464432955915,0.0011203460448639458,6.100480473413414e-05,8.847886476751651e-10,2.612130484798413e-05,0.0,0.38598464432955915
0.077,0.43478741936623355,0.0015551334642301792,6.255993819789543e-05,9.22977385518876e-10,2.4556566189290483e-05,0.43478741936623355,0.0
0.078,-0.14428000384718231,0.001410853460382997,6.397079165810654e-05,9.450005012481733e-10,1.560978255262104e-05,0.0,0.14428000384718231
0.079,0.5090613430445812,0.0019199148034275782,6.589070646052552e-05,1.007232869934383e-09,3.2414130348912096e-05,0.5090613430445812,0.0
0.08,0.5310139751374803,0.0024509287785650586,6.834163523870161e-05,1.0508980221106819e-09,1.7815757259243285e-05,0.5310139751374803,0.0
0.081,0.824460736441222,0.0032753895150062803,7.1617024753053e-05,1.1163960382539023e-09,1.9997015880860858e-05,0.824460736441222,0.0
0.082,-0.006498091515864113,0.0032688914234904162,7.4885916176334e-05,1.1533972000682866e-09,1.131917736676175e-05,0.0,0.006498091515864113
0.083,0.45926655382315507,0.003728157977313571,7.861407415274672e-05,1.2353549204706646e-09,2.1983435494875736e-05,0.45926655382315507,0.0
0.084,0.026070417331361062,0.0037542283946449323,8.236830254700251e-05,1.2894083496193814e-09,1.4398012978562168e-05,0.026070417331361062,0.0
0.085,-0.10275289194610338,0.0036514755026988287,8.60197780485078e-05,1.3827698596163437e-09,2.556816003232953e-05,0.0,0.10275289194610338
0.08600000000000001,0.8180031639275207,0.004469478666626349,9.048925671401571e-05,1.4827587406988803e-09,2.237148637434948e-05,0.8180031639275207,0.0
0.08700000000000001,0.5528642333630496,0.005022342899989399,9.55115996139152e-05,1.5128096238726793e-09,5.983439158254549e-06,0.5528642333630496,0.0
0.088,-0.8771674546955148,0.0041451754452938834,9.96567750586259e-05,1.5823424605011866e-09,1.6774401361156e-05,0.0,0.8771674546955148
0.089,0.7158592175579419,0.004861034662851825,0.00010451780972147085,1.5905153080821962e-09,1.681297943310449e-06,0.7158592175579419,0.0
0.09,0.7760343521527011,0.005637069015004526,0.00011015487873607071,1.5229715147795262e-09,-1.1982076700586952e-05,0.7760343521527011,0.0
0.091,0.5443921775397731,0.006181461192544299,0.00011633633992720023,1.390718717784012e-09,-2.1395070337919335e-05,0.5443921775397731,0.0
0.092,0.5140267581397993,0.006695487950684098,0.00012303182787785615,1.3712938244693894e-09,-2.9011915871889615e-06,0.5140267581397993,0.0
0.093,0.7204118412546912,0.00741589979193879,0.0001304477276693365,1.4537536045175278e-09,1.1119322316015222e-05,0.7204118412546912,0.0
0.094,-0.7085319073426262,0.006707367884596163,0.00013715509555393211,1.4510612549267799e-09,-4.014018072470878e-07,0.0,0.7085319073426262
0.095,-0.8363979472248331,0.00587096993737133,0.00014302606549130336,1.4501269990668403e-09,-1.5913143312021828e-07,0.0,0.8363979472248331
0.096,-0.3945201834047092,0.0054764497539666205,0.00014850251524521028,1.4756968335098375e-09,4.669053052950914e-06,0.0,0.3945201834047092
0.097,0.6130387798383696,0.00608948853380499,0.00015459200377732386,1.6192223300020512e-09,2.356938447436747e-05,0.6130387798383696,0.0
0.098,0.0849222296788632,0.006174410763483853,0.00016076641454037627,1.692213660975686e-09,1.1821586507819298e-05,0.0849222296788632,0.0
0.099,0.9525324754234115,0.007126943238907265,0.00016789335777681912,1.8796374432773803e-09,2.6297919885220513e-05,0.9525324754234115,0.0
0.1,0.9416076350220961,0.008068550873929362,0.00017596190865005126,1.9857080285046137e-09,1.314617542699246e-05,0.9416076350220961,0.0
0.101,-0.6538662467555165,0.0074146846271738445,0.00018337659327711828,1.945907730779794e-09,-5.367766766390596e-06,0.0,0.6538662467555165
0.10200000000000001,0.9824396146478014,0.008397124241821647,0.0001917737175188036,1.898057612475194e-09,-5.6983935126912675e-06,0.9824396146478014,0.0
